"lsoa11","samhi_index.2011","samhi_dec.2011","samhi_index.2012","samhi_dec.2012","samhi_index.2013","samhi_dec.2013","samhi_index.2014","samhi_dec.2014","samhi_index.2015","samhi_dec.2015","samhi_index.2016","samhi_dec.2016","samhi_index.2017","samhi_dec.2017","samhi_index.2018","samhi_dec.2018","samhi_index.2019","samhi_dec.2019","samhi_index.2020","samhi_dec.2020","samhi_index.2021","samhi_dec.2021","samhi_index.2022","samhi_dec.2022"
"E01003323",-0.869366134636682,6,-0.586099222646121,7,-0.794762165545036,5,-0.52167892771128,6,-0.419740818396099,5,-0.884792293448903,2,-0.656392341507861,2,-0.613509275635494,2,-0.0504661875162794,3,-0.0535428208836275,3,0.289335670677579,4,0.227300781651151,4
"E01003324",-0.988390774921967,5,-0.979875310615127,4,-1.20571021336514,3,-0.557541573317363,5,-0.891648905064799,3,-1.03549137616794,1,-0.924588930679095,1,-0.91881848851606,1,-0.309986438703715,2,-0.638685398277463,1,-0.463782257841784,1,-0.343226485169508,2
"E01003325",-0.69814999913366,7,-0.445968920887906,7,-0.859079914593913,5,-0.62217862915716,5,-0.60150385655036,4,-0.606730194189542,3,-0.83072841055489,2,-0.683305110234481,1,-0.159379334530826,3,-0.434564710980867,2,-0.144458200205281,2,0.121708304537357,3
"E01003326",-0.383428401237789,8,-0.451192354149281,7,0.00931709853599388,9,0.461470842193839,9,0.175097346892065,8,0.298074250979407,8,0.203353759232512,7,0.873230102174427,8,0.986999375912729,8,0.35642038738363,5,0.61215466954957,5,0.884409322395496,7
"E01003327",-1.18147459721792,4,-1.1986099230868,3,-1.13082703387342,3,-0.941790861160431,3,-1.03339799007246,2,-0.738006386108617,3,-0.90031621329628,1,-0.50695318680838,2,-0.000149123032827312,3,-0.200298512229818,3,0.0610866872426501,3,-0.025133651756379,3
"E01003328",-1.13323100289464,4,-0.910808201475661,5,-0.411244102600791,7,-1.11681658384262,2,-0.67283514745013,4,-0.721806594138466,3,-0.443966218125716,3,0.18807081092909,5,0.407567276257112,5,-0.112214033215723,3,0.316280884503142,4,0.305644742923344,4
"E01003329",-1.06173206712824,5,-0.841052439028517,5,-0.615528422638276,6,-0.65835790743341,5,-0.724693194881733,4,-0.712207396415225,3,-0.913252496903139,1,-0.657073250209241,2,-0.46221064315089,2,0.075200507542224,4,-0.0652241800627667,2,-0.260260411587135,2
"E01003330",-1.16413561333181,4,-0.899599482465372,5,-0.756292596752504,5,-0.698622984552416,5,-0.781066178359431,3,-0.750165386164627,3,-0.772075458578954,2,-0.119895609233471,4,-0.00790767772071431,3,-0.173279199929744,3,0.0543368381261778,3,0.0104238879559156,3
"E01003331",-0.569869712424781,8,-0.819409711703359,5,-0.378388312351939,7,-0.0985614911630147,8,-0.145601738353109,7,-0.695261978119475,3,-0.137196845072198,5,0.295084328434755,6,0.64340109379254,7,0.609116806299809,6,0.701823436116688,6,0.4541398930308,5
"E01003332",-0.966442620895936,5,-0.759973356339654,6,-0.748121739541093,5,-0.324206466185406,7,-0.414978193669703,5,-0.773834907544454,2,-0.541276440081037,3,-0.181824603968944,4,-0.117825567121597,3,0.264247876375261,5,0.205881675602609,4,0.0580839517573251,3
"E01003333",-1.22788401141655,4,-1.1697807828527,3,-0.972929809530604,4,-0.68986589678794,5,-0.74211721896079,3,-0.458185724378337,4,-0.45136249024247,3,-0.195313763603627,4,-0.0984694864502407,3,-0.226448195721533,2,-0.0833608876020221,2,0.272325533481668,4
"E01003334",-0.117064880776365,9,0.193997986968649,9,-0.815369075933057,5,-0.562174765820719,5,-0.585583935660568,4,-0.690823607711253,3,-0.744419805324435,2,-0.336633190600046,3,0.456422733343222,6,0.0658649551740468,4,0.888200430172203,7,0.783856152876094,6
"E01003335",-0.769800238429565,7,-0.704570922110604,6,-0.331051267371871,8,-0.189380255490926,7,-0.27760784147077,6,-0.216591128444959,5,-0.69152945508546,2,0.137881269130272,5,0.200875040502811,4,-0.125929254994204,3,0.589120064789635,5,0.737312950024342,6
"E01003336",-1.24972805596545,3,-0.4516200248252,7,-0.516455264151436,7,-0.727346825541637,4,-0.466484882218262,5,-0.513999239673236,4,-0.300534349118265,4,0.302972379112477,6,0.204719284822872,4,0.153868654214258,4,0.733037419564141,6,0.527764208201503,5
"E01003337",-1.17234093768914,4,-0.93910511102772,4,-0.746880907841504,5,-0.742918737317514,4,-0.622359092402638,4,-0.508576885881823,4,-0.32218123144593,4,0.0121589348342575,5,0.145271200145687,4,0.382634669937969,5,0.555105785121201,5,0.0519669555089907,3
"E01003338",-1.00888810356098,5,-0.85640336205997,5,-1.16814407191173,3,-0.933507032231154,3,-0.792786839314027,3,-0.878466199821811,2,-0.420454615258998,3,-0.154630318416222,4,-0.310319458905331,2,-0.27440163471196,2,-0.162614653222946,2,-0.218360701869264,2
"E01003339",-0.889407351964349,6,-1.21946699623898,3,-1.27737110578532,2,-1.03847938107168,3,-1.15931497365576,2,-1.04594462889691,1,-0.758204577857231,2,-0.515841481351704,2,-0.0462207328048396,3,0.0500375493849319,4,-0.0190071563778001,3,-0.365103961503642,1
"E01003340",-1.54161821531661,2,-1.44381675890656,2,-1.3868897002096,2,-1.10125229207266,2,-1.06618460782002,2,-0.911828643270216,2,-0.875541699907313,1,-0.681851734564904,1,-0.317806903820466,2,-0.456852052810716,2,-0.491714176841372,1,-0.424905438995332,1
"E01003341",-1.41012419003089,3,-1.57217380183725,1,-1.71022928065435,1,-1.30162732484541,2,-1.1648862684594,2,-0.909236061866241,2,-1.17938608173035,1,-0.62130992369435,2,-0.42314615272964,2,-0.528112360018864,1,-0.337261090259535,2,-0.205727097251922,2
"E01003342",-1.62381785686405,2,-1.21522987954864,3,-1.1807530149236,3,-1.23552586636351,2,-1.13579076189651,2,-0.94344584313086,2,-0.902399272267875,1,-0.534783639192448,2,-0.227685206903236,2,-0.280093754245458,2,-0.124926322199589,2,-0.284447591501779,2
"E01003343",-1.52112831974646,2,-1.48197724735252,2,-1.51605134191188,1,-1.26159512202742,2,-1.12220709265276,2,-0.987467049177012,2,-0.780925977581145,2,-0.692604522694343,1,-0.285169916937232,2,-0.603553967124168,1,-0.295004642923816,2,-0.632106366926464,1
"E01003344",-1.70991695173554,1,-1.34493413639921,2,-1.30575404241794,2,-1.19238420839125,2,-1.18849608959774,1,-1.02833230004578,1,-0.861967833650208,2,-0.63979670335665,2,-0.255613204340155,2,-0.465860953881698,2,-0.25977047219049,2,-0.21013763895988,2
"E01003345",-1.53645559397856,2,-1.39197025161709,2,-1.11003236414035,3,-1.22780140415676,2,-1.18557872719496,1,-1.08167213124254,1,-0.954502226607131,1,-0.379026697730894,3,-0.631807254575516,1,-0.352108135584866,2,-0.29300328748495,2,-0.460588605253059,1
"E01003346",-1.31306013669967,3,-1.15891201301182,3,-0.847554608057967,5,-0.992474350217536,3,-1.02147496595486,2,-0.834072513784373,2,-0.564217653172635,3,-0.486589832127705,2,-0.185664587170196,3,0.0838563243973901,4,-0.0323024793257186,3,0.360780301649805,4
"E01003347",-0.940920591101342,5,-1.22096222971469,3,-0.68718698986572,6,-0.752409098092233,4,-0.733410157331318,3,-0.704192036880793,3,-0.90445278727194,1,0.2222928328146,6,0.0146057386502153,4,-0.151481863453205,3,0.379617950684629,4,0.0536969597071934,3
"E01003348",-0.966418901536318,5,-1.19705284047643,3,-1.37242480750411,2,-1.41233298450271,1,-1.19167954681768,1,-1.20640960216289,1,-1.22112825990291,1,-0.535746703316776,2,-0.794016861796129,1,-0.416993102268376,2,-0.361884430871492,2,-0.0327635448710092,3
"E01003349",-0.696078334144354,7,-0.928178983289772,5,-0.546352134983223,7,-0.878855624588621,4,-0.518111075095395,5,-0.95543721687766,2,-0.826422615502566,2,-0.530024383858125,2,-0.632227380594766,1,-0.640924081042448,1,-0.296629930375862,2,-0.474656408402551,1
"E01003350",-0.827641864893371,6,-0.858038934327085,5,-0.837630430420001,5,-0.891157084586631,3,-0.879158285323774,3,-1.01364591352165,2,-0.670122060696502,2,-0.0380728495596216,4,0.103396183966766,4,0.135542202297833,4,-0.0102428014564318,3,0.226028568511142,4
"E01003351",-0.746403035986771,7,-0.523601976128755,7,-0.177174385039979,8,-0.493688937053089,6,-0.499457406847456,5,-0.261435032216773,5,-0.624918547148445,2,-0.0891680241132878,4,0.151750240504364,4,-0.149175032817515,3,0.834600644357157,7,0.804980345111973,6
"E01003352",-1.04542963629152,5,-1.01665217298739,4,-1.240519792838,3,-1.20669930163107,2,-1.2518560086153,1,-1.15160218465037,1,-0.973814187464002,1,-0.394826279648394,3,-0.572835215800314,1,-0.561021130315567,1,0.064833153337989,3,0.13109719750413,3
