LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct,HospWalkt,HospWalk15n,HospWalk30n,HospWalk45n,HospWalk60n,HospWalk15pct,HospWalk30pct,HospWalk45pct,HospWalk60pct
E01026016,East Midlands,E07000136,Boston,1044.57592010498,76.2394220401359,0,0,0,0.148936167570959,0,0,0,14.8936167570959,63.0531806626745,0,0,0,0.390070924109621,0,0,0,39.0070924109621,28.5433943865605,0,0.594731513584137,1,5,0,59.4731513584137,100,100,120,0,0,0,0,0,0,0,0
E01026017,East Midlands,E07000136,Boston,731.308971405029,82.65412461564,0,0,0,0,0,0,0,0,60.416859313218,0,0,0,0.684515198690527,0,0,0,68.4515198690527,26.1370623447259,0,1,1,4.44717801125094,0,100,100,100,120,0,0,0,0,0,0,0,0
E01026018,East Midlands,E07000136,Boston,756.708999633789,46.3514691071629,0,0,0.524475526449688,1,0,0,52.4475526449688,100,39.2090912943228,0,0,0.783216785896005,1,0,0,78.3216785896005,100,20.5582934951729,0,1,1,3.47972027808454,0,100,100,100,101.628280306708,0,0,0,0,0,0,0,0
E01026019,East Midlands,E07000136,Boston,1228.72608184814,52.3722481152742,0,0,0.228251500908855,0.927648579180391,0,0,22.8251500908855,92.7648579180391,41.9983197467129,0,0,0.927648579180391,1,0,0,92.7648579180391,100,21.2186821018707,0,1,1,3.36692506938072,0,100,100,100,111.519043570064,0,0,0,0,0,0,0,0
E01026020,East Midlands,E07000136,Boston,980.017547607422,48.0029481913496,0,0,0.47408208738988,0.832613396073859,0,0,47.408208738988,83.2613396073859,41.7807773680553,0,0,0.865010806298902,1,0,0,86.5010806298902,100,21.3836286262876,0,1,1,3.83045356872552,0,100,100,100,111.895680050578,0,0,0,0,0,0,0,0
E01026021,East Midlands,E07000136,Boston,811.742378234863,17.7739894256773,0.176010426338705,1,1,1,17.6010426338705,100,100,100,14.7867407548557,0.679269883725808,1,1,1,67.9269883725808,100,100,100,10.2333768464206,1,1,1,1,100,100,100,100,21.2026857849348,0,1,1,1,0,100,100,100
E01026022,East Midlands,E07000136,Boston,917.575775146484,17.6857439756551,0.354094570338506,1,1,1,35.4094570338506,100,100,100,14.2843830650028,0.626297567612305,1,1,1,62.6297567612305,100,100,100,10.0954901137046,1,1,1,1,100,100,100,100,18.8453291381676,0.354094570338506,1,1,1,35.4094570338506,100,100,100
E01026023,East Midlands,E07000136,Boston,623.358879089355,32.1307975685378,0,0.490662132299417,0.850594226943196,1,0,49.0662132299417,85.0594226943196,100,60.0370968568857,0,0,0,0.633276745536482,0,0,0,63.3276745536482,25.3048559407469,0,1,1,1,0,100,100,100,120,0,0,0,0,0,0,0,0
E01026024,East Midlands,E07000136,Boston,877.359085083008,70.6288894942758,0,0,0.618817865233426,0.618817865233426,0,0,61.8817865233426,61.8817865233426,51.8989867859592,0,0,0,1,0,0,0,100,23.1629190126517,0,1,1,1,0,100,100,100,120,0,0,0,0,0,0,0,0
E01026025,East Midlands,E07000136,Boston,1045.63421630859,21.3542612277146,0,1,1,1,0,100,100,100,18.526073328081,0,1,1,1,0,100,100,100,12.4694534482497,1,1,1,1.97064776985269,100,100,100,100,34.6139374946581,0,0.32388664830185,1,1,0,32.388664830185,100,100
E01026026,East Midlands,E07000136,Boston,866.775756835938,28.8491819133675,0,0.625152627366569,1,1,0,62.5152627366569,100,100,19.2169712858333,0,1,1,1,0,100,100,100,12.5943590003588,1,1,1,1,100,100,100,100,35.90769284821,0,0,1,1,0,0,100,100
E01026027,East Midlands,E07000136,Boston,805.392349243164,32.2480291478268,0,0.278580808493501,1,1,0,27.8580808493501,100,100,21.5468334141745,0,1,1,1,0,100,100,100,13.5891193723996,1,1,1,1,100,100,100,100,42.7649940399459,0,0,0.823915899060882,1,0,0,82.3915899060882,100
E01026028,East Midlands,E07000136,Boston,900.642448425293,21.7314454254693,0,1,1,1,0,100,100,100,16.8322322722591,0,1,1,1,0,100,100,100,11.2892714948777,1,1,1,1,100,100,100,100,28.967990314996,0,0.693302002955434,1,1,0,69.3302002955433,100,100
